date,home_id,home_team,away_id,away_team,home_score,away_score,tournament,city,country,neutral
07/01/2000,25,Tunisia,,Togo,7,0,Friendly,Tunis,Tunisia,FALSE
08/01/2000,,Trinidad and Tobago,33,Canada,0,0,Friendly,Port of Spain,Trinidad and Tobago,FALSE
09/01/2000,40,Ivory Coast,32,Egypt,2,0,Friendly,Abidjan,Ivory Coast,FALSE
09/01/2000,10,Mexico,35,Iran,2,1,Friendly,Oakland,United States,TRUE
11/01/2000,,Bermuda,33,Canada,0,2,Friendly,Hamilton,Bermuda,FALSE
13/01/2000,27,Senegal,,Cameroon,0,0,Friendly,Dakar,Senegal,FALSE
14/01/2000,,China,18,New Zealand,1,0,Friendly,Guangzhou,China,FALSE
16/01/2000,,Jamaica,18,New Zealand,2,1,Friendly,Guangzhou,China,TRUE
16/01/2000,12,United States,35,Iran,1,1,Friendly,Pasadena,United States,FALSE
18/01/2000,6,Ghana,25,Tunisia,2,0,Friendly,Accra,Ghana,FALSE
18/01/2000,29,Morocco,,Trinidad and Tobago,1,0,Friendly,El Jadida,Morocco,FALSE
19/01/2000,37,Panama,,Guatemala,2,0,Friendly,Panama City,Panama,FALSE
19/01/2000,,Togo,32,Egypt,1,0,Friendly,LomÃ©,Togo,FALSE
20/01/2000,,Burkina Faso,16,Algeria,1,0,Friendly,Ouagadougou,Burkina Faso,FALSE
20/01/2000,,Malta,41,Qatar,2,0,Friendly,Attard,Malta,FALSE
21/01/2000,18,New Zealand,13,South Korea,0,1,Friendly,Auckland,New Zealand,FALSE
22/01/2000,6,Ghana,,Cameroon,1,1,African Cup of Nations,Accra,Ghana,FALSE
23/01/2000,32,Egypt,,Zambia,2,0,African Cup of Nations,Kano,Nigeria,TRUE
23/01/2000,18,New Zealand,13,South Korea,0,0,Friendly,Palmerston North,New Zealand,FALSE
23/01/2000,,Nigeria,25,Tunisia,4,2,African Cup of Nations,Lagos,Nigeria,FALSE
23/01/2000,15,South Africa,,Gabon,3,1,African Cup of Nations,Kumasi,Ghana,TRUE
24/01/2000,39,DR Congo,16,Algeria,0,0,African Cup of Nations,Kumasi,Ghana,TRUE
24/01/2000,40,Ivory Coast,,Togo,1,1,African Cup of Nations,Accra,Ghana,TRUE
24/01/2000,41,Qatar,36,Bosnia and Herzegovina,2,0,Friendly,Doha,Qatar,FALSE
25/01/2000,,Burkina Faso,27,Senegal,1,3,African Cup of Nations,Kano,Nigeria,TRUE
25/01/2000,29,Morocco,,Congo,1,0,African Cup of Nations,Lagos,Nigeria,TRUE
26/01/2000,,Guatemala,37,Panama,1,1,Friendly,Guatemala City,Guatemala,FALSE
26/01/2000,3,Spain,,Poland,3,0,Friendly,Cartagena,Spain,FALSE
27/01/2000,6,Ghana,,Togo,2,0,African Cup of Nations,Accra,Ghana,FALSE
27/01/2000,15,South Africa,39,DR Congo,1,0,African Cup of Nations,Kumasi,Ghana,TRUE
28/01/2000,,Cameroon,40,Ivory Coast,3,0,African Cup of Nations,Accra,Ghana,TRUE
28/01/2000,32,Egypt,27,Senegal,1,0,African Cup of Nations,Kano,Nigeria,TRUE
29/01/2000,16,Algeria,,Gabon,3,1,African Cup of Nations,Kumasi,Ghana,TRUE
29/01/2000,,Chile,12,United States,1,2,Friendly,Coquimbo,Chile,FALSE
29/01/2000,25,Tunisia,29,Morocco,0,0,African Cup of Nations,Lagos,Nigeria,TRUE
31/01/2000,6,Ghana,40,Ivory Coast,0,2,African Cup of Nations,Accra,Ghana,FALSE
31/01/2000,,Iceland,46,Norway,0,0,Nordic Championship,Cartagena,Spain,TRUE
01/02/2000,32,Egypt,,Burkina Faso,4,2,African Cup of Nations,Kano,Nigeria,TRUE
01/02/2000,,Zambia,27,Senegal,2,2,African Cup of Nations,Lagos,Nigeria,TRUE
02/02/2000,39,DR Congo,,Gabon,0,0,African Cup of Nations,Accra,Ghana,TRUE
02/02/2000,15,South Africa,16,Algeria,1,1,African Cup of Nations,Kumasi,Ghana,TRUE
03/02/2000,,Nigeria,29,Morocco,2,0,African Cup of Nations,Lagos,Nigeria,FALSE
03/02/2000,25,Tunisia,,Congo,1,0,African Cup of Nations,Kano,Nigeria,TRUE
04/02/2000,,Kuwait,35,Iran,1,1,Friendly,Kuwait City,Kuwait,FALSE
04/02/2000,46,Norway,21,Sweden,1,1,Nordic Championship,Cartagena,Spain,TRUE
05/02/2000,9,Japan,10,Mexico,0,1,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE
06/02/2000,,Cameroon,16,Algeria,2,1,African Cup of Nations,Accra,Ghana,TRUE
06/02/2000,6,Ghana,15,South Africa,0,1,African Cup of Nations,Kumasi,Ghana,FALSE
07/02/2000,32,Egypt,25,Tunisia,0,1,African Cup of Nations,Kano,Nigeria,TRUE
07/02/2000,,Nigeria,27,Senegal,2,1,African Cup of Nations,Lagos,Nigeria,FALSE
08/02/2000,10,Mexico,22,Czech Republic,1,2,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE
09/02/2000,,Chile,17,Australia,2,1,Friendly,ValparaÃ­so,Chile,FALSE
10/02/2000,,Cameroon,25,Tunisia,3,0,African Cup of Nations,Accra,Ghana,TRUE
10/02/2000,,Nigeria,15,South Africa,2,0,African Cup of Nations,Lagos,Nigeria,FALSE
12/02/2000,17,Australia,,Slovakia,0,0,Friendly,ValparaÃ­so,Chile,TRUE
12/02/2000,31,Colombia,,Jamaica,1,0,Gold Cup,Miami,United States,TRUE
12/02/2000,15,South Africa,25,Tunisia,2,2,African Cup of Nations,Accra,Ghana,TRUE
12/02/2000,12,United States,34,Haiti,3,0,Gold Cup,Miami,United States,FALSE
13/02/2000,,Costa Rica,33,Canada,2,2,Gold Cup,San Diego,United States,TRUE
13/02/2000,10,Mexico,,Trinidad and Tobago,4,0,Gold Cup,San Diego,United States,TRUE
13/02/2000,,Singapore,9,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,TRUE
14/02/2000,34,Haiti,,Peru,1,1,Gold Cup,Miami,United States,TRUE
15/02/2000,17,Australia,,Bulgaria,1,1,Friendly,ValparaÃ­so,Chile,TRUE
15/02/2000,33,Canada,13,South Korea,0,0,Gold Cup,Los Angeles,United States,TRUE
16/02/2000,,Honduras,31,Colombia,2,0,Gold Cup,Miami,United States,TRUE
16/02/2000,9,Japan,,Brunei,9,0,AFC Asian Cup qualification,Macau,Macau,TRUE
16/02/2000,37,Panama,,El Salvador,4,1,Friendly,Panama City,Panama,FALSE
16/02/2000,12,United States,,Peru,1,0,Gold Cup,Miami,United States,FALSE
17/02/2000,13,South Korea,,Costa Rica,2,2,Gold Cup,Los Angeles,United States,TRUE
17/02/2000,10,Mexico,,Guatemala,1,1,Gold Cup,Los Angeles,United States,TRUE
19/02/2000,,Oman,19,Switzerland,1,4,Friendly,Muscat,Oman,FALSE
19/02/2000,12,United States,31,Colombia,2,2,Gold Cup,Miami,United States,FALSE
20/02/2000,,Macau,9,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,FALSE
20/02/2000,10,Mexico,33,Canada,1,2,Gold Cup,San Diego,United States,TRUE
23/02/2000,28,Belgium,8,Portugal,1,1,Friendly,Charleroi,Belgium,FALSE
23/02/2000,31,Colombia,,Peru,2,1,Gold Cup,San Diego,United States,TRUE
23/02/2000,23,Croatia,3,Spain,0,0,Friendly,Split,Croatia,FALSE
23/02/2000,11,England,5,Argentina,0,0,Friendly,London,England,FALSE
23/02/2000,14,France,,Poland,1,0,Friendly,Saint-Denis,France,FALSE
23/02/2000,,Greece,30,Austria,4,1,Friendly,KalamÃ¡ta,Greece,FALSE
23/02/2000,,Hungary,17,Australia,0,3,Friendly,Budapest,Hungary,FALSE
23/02/2000,,Republic of Ireland,22,Czech Republic,3,2,Friendly,Dublin,Republic of Ireland,FALSE
